timestamp_utc,terminal_total_kw,active_container_count,avg_temperature_ambient,avg_temperature_setpoint,avg_temperature_return,avg_temperature_supply,std_temperature_setpoint,setpoint_min,setpoint_max,count_setpoint_frozen,count_setpoint_cold,count_setpoint_chilled,count_setpoint_warm,mixed_setpoint_pressure,count_stack_tier_1,count_stack_tier_2,count_stack_tier_3,count_size_20,count_size_40,count_size_45,avg_setpoint_tier_1,avg_setpoint_tier_2,avg_setpoint_tier_3,count_frozen_tier_1,count_frozen_tier_2,count_frozen_tier_3,count_warm_tier_1,count_warm_tier_2,count_warm_tier_3,top_tier_extreme_pressure,customer_unique_count,customer_hhi_top5,count_customer_top_1,count_customer_top_2,count_customer_top_3,count_customer_top_4,count_customer_top_5,count_hw_SCC6,count_hw_ML3,count_hw_Decos_family,count_hw_MP_family,count_hw_ML_other,count_hw_Other,is_observed_hour
2025-01-01T00:00:00Z,843.247345,425,6.809843,-0.727765,-0.48551,-1.333882,16.44966,-28.0,25.0,157,4,78,186,68.710588,196,135,94,25,400,0,0.428061,-1.457037,-2.090426,67,53,37,94,54,38,0.176471,44,0.05879,80,0,51,23,33,133,175,89,22,5,1,1
2025-01-01T01:00:00Z,866.865919,425,7.376843,-0.727765,-0.579588,-1.367902,16.44966,-28.0,25.0,157,4,78,186,68.710588,196,135,94,25,400,0,0.428061,-1.457037,-2.090426,67,53,37,94,54,38,0.176471,44,0.05879,80,0,51,23,33,133,175,89,22,5,1,1
2025-01-01T02:00:00Z,865.29278,425,7.690537,-0.727765,-0.558302,-1.343631,16.44966,-28.0,25.0,157,4,78,186,68.710588,196,135,94,25,400,0,0.428061,-1.457037,-2.090426,67,53,37,94,54,38,0.176471,44,0.05879,80,0,51,23,33,133,175,89,22,5,1,1
2025-01-01T03:00:00Z,875.90791,425,7.835937,-0.727765,-0.560024,-1.390851,16.44966,-28.0,25.0,157,4,78,186,68.710588,196,135,94,25,400,0,0.428061,-1.457037,-2.090426,67,53,37,94,54,38,0.176471,44,0.05879,80,0,51,23,33,133,175,89,22,5,1,1
2025-01-01T04:00:00Z,873.15,425,8.376204,-0.727765,-0.535957,-1.409565,16.44966,-28.0,25.0,157,4,78,186,68.710588,196,135,94,25,400,0,0.428061,-1.457037,-2.090426,67,53,37,94,54,38,0.176471,44,0.05879,80,0,51,23,33,133,175,89,22,5,1,1
2025-01-01T05:00:00Z,876.544704,424,8.761069,-0.687028,-0.466985,-1.36375,16.447621,-28.0,25.0,156,4,78,186,68.433962,196,134,94,25,399,0,0.428061,-1.333582,-2.090426,67,52,37,94,54,38,0.176887,44,0.059068,80,0,51,23,33,133,174,89,22,5,1,1
2025-01-01T06:00:00Z,880.2471,424,8.843085,-0.687028,-0.491732,-1.342663,16.447621,-28.0,25.0,156,4,78,186,68.433962,196,134,94,25,399,0,0.428061,-1.333582,-2.090426,67,52,37,94,54,38,0.176887,44,0.059068,80,0,51,23,33,133,174,89,22,5,1,1
2025-01-01T07:00:00Z,863.150642,424,8.786635,-0.687028,-0.471423,-1.41136,16.447621,-28.0,25.0,156,4,78,186,68.433962,196,134,94,25,399,0,0.428061,-1.333582,-2.090426,67,52,37,94,54,38,0.176887,44,0.059068,80,0,51,23,33,133,174,89,22,5,1,1
2025-01-01T08:00:00Z,872.091181,423,9.107853,-0.688652,-0.489913,-1.406028,16.467017,-28.0,25.0,156,4,77,186,68.595745,196,133,94,25,398,0,0.428061,-1.343609,-2.090426,67,52,37,94,54,38,0.177305,44,0.058459,79,0,51,23,33,132,174,89,22,5,1,1
2025-01-01T09:00:00Z,863.289251,424,9.143318,-0.729481,-0.557567,-1.41191,16.469009,-28.0,25.0,157,4,77,186,68.872642,196,133,95,25,399,0,0.428061,-1.343609,-2.257895,67,52,38,94,54,38,0.179245,44,0.058445,79,0,51,24,33,132,175,89,22,5,1,1
